Ciudad,VentaSinIVA
Acacías,16980497
Aguachica,6609119
Apartadó,23551564
Armenia,93400453
Barrancabermeja,19907743
Barranquilla,268437666
Bello,38229293
"Bogotá, D.C.",1258672398
Bucaramanga,122578578
Buenaventura,17188482
Cali,1020679931
Cartagena De Indias,270483495
Cartago,29824851
Caucasia,17722860
Cereté,5486441
Chinchiná,4877261
Chía,55131017
Cúcuta,184117470
Dosquebradas,29897631
Duitama,18866995
Envigado,56828608
Facatativá,9436612
Florencia,39619591
Floridablanca,31692570
Fusagasugá,19854764
Girardot,42290473
Guadalajara De Buga,22553086
Ibagué,176945547
Ipiales,65834975
Jamundí,13220409
La Ceja,4923022
La Dorada,6377798
Lorica,10955341
Madrid,12885052
Magangué,6339871
Manizales,55539452
Medellín,398609884
Montería,84748922
Mosquera,19836120
Neiva,126753658
Ocaña,17166833
Palmira,55714348
Pasto,125788306
Pereira,157237714
Piedecuesta,16931367
Pitalito,26090978
Planeta Rica,9523836
Popayán,49423365
Quibdó,22551834
Riohacha,18227393
Rionegro,30249189
Sabaneta,54593480
San Gil,5956303
San José Del Guaviare,16535651
Santa Marta,83923834
Santander De Quilichao,7845608
Sevilla,4146750
Sincelejo,33758813
Soacha,23611741
Sogamoso,9590713
Soledad,21571804
Tuluá,50839068
Tunja,49716476
Valledupar,64787589
Villavicencio,165406874
Yopal,62609511
Yumbo,12822944
Zipaquirá,15999542
